,key_phrase,YAKE_score,word_count,phrase_freq
0,kids toys room,0.0006230114477697827,3,1
1,sex education yeah,0.0007450793793513581,3,1
2,connection issues,0.005764271262742273,2,1
3,pkg of chicken,0.005958841978071785,3,1
4,chicken breast,0.007247302325728213,2,1
5,mobile phone,0.007247302325728213,2,1
6,friday i glad,0.007247302325728213,3,0
7,glad little guys,0.007247302325728213,3,1
8,guys are watching,0.007247302325728213,3,1
9,yeah kind,0.00865691110846471,2,1
10,kind of awkward,0.019635738580300065,3,1
11,awkward the entire,0.019635738580300065,3,1
12,pkg,0.069833132480739,1,1
13,cool,0.069833132480739,1,1
14,issue,0.07570491972308996,1,2
15,make,0.08482427039924474,1,1
16,bit,0.08482427039924474,1,1
17,hole,0.08482427039924474,1,1
18,quick,0.08482427039924474,1,1
19,changed,0.08482427039924474,1,1
20,kids,0.08482427039924474,1,1
21,toys,0.08482427039924474,1,1
22,time,0.08482427039924474,1,1
23,alright,0.08482427039924474,1,1
24,enjoy,0.08482427039924474,1,1
